net,length_um
net19,688.51µm
clknet_2_2__leaf_clk,629.36µm
net1,625.87µm
net163,540.78µm
net133,533.94µm
net110,478.99µm
_0490_,477.03µm
_0465_,468.575µm
_0384_,457.81µm
_4293_,454.29µm
_4282_,449µm
_3339_,433.78µm
_4496_,433.48µm
_0661_,430.415µm
_0488_,430.1µm
_3485_,429.84µm
net132,429.31µm
clknet_2_1__leaf_clk,426.56µm
_4363_,426.06µm
_4441_,424.82µm
_4430_,419.09µm
_0751_,418.275µm
_4463_,417.77µm
_4419_,403µm
_4474_,401.59µm
_4341_,400.16µm
_0748_,393.11µm
_0755_,390.93µm
_4408_,388.06µm
_4385_,385.92µm
_4315_,385.87µm
clknet_2_3__leaf_clk,385.12µm
clknet_0_clk,384.8µm
_4249_,384.15µm
_4452_,381.06µm
clknet_2_0__leaf_clk,379.28µm
_4352_,374.01µm
_4374_,373.87µm
_1043_,371.87µm
_0552_,367.4µm
_0347_,363.86µm
_4333_,362.45µm
_0383_,356.18µm
_4260_,353.41µm
_4485_,352.23µm
_0527_,348.02µm
_4238_,345.24µm
accum_reg\[15\],343.17µm
_4304_,342.09µm
_1487_,340.47µm
clk,338.27µm
_0422_,336.34µm
_0423_,336.01µm
_0524_,331.775µm
_0455_,326.25µm
_0391_,324.665µm
_0587_,324.13µm
_0382_,320.415µm
_4271_,320.04µm
_0934_,319.61µm
_0335_,317.96µm
_1327_,317.65µm
_4396_,314.64µm
_0555_,310.97µm
_0468_,309.895µm
_0941_,309.735µm
_0812_,307.51µm
_3649_,307.36µm
_0377_,307.32µm
_0398_,307.26µm
_1701_,306.91µm
_0445_,306.4µm
_2212_,306.4µm
_2076_,305.18µm
_0575_,303.1µm
_0409_,299.44µm
net41,295.66µm
_1045_,292.48µm
_1200_,292.38µm
_4512_,290.235µm
_0576_,290.06µm
_1754_,289.165µm
net419,285.81µm
_1434_,285.4µm
_2562_,284.9µm
_1144_,283.865µm
_1174_,283.16µm
_0528_,283.14µm
_0905_,281.58µm
net411,281.225µm
net315,281.18µm
_0489_,281.01µm
_0502_,280.25µm
_2805_,276.835µm
net39,276.82µm
_0625_,276.72µm
_0750_,275.48µm
_1484_,274.775µm
_0819_,273.93µm
_2716_,273.88µm
_1454_,273.77µm
net589,272.42µm
net269,270.66µm
_2184_,270.6µm
net412,269.47µm
_2068_,268.14µm
_2198_,266.94µm
_3004_,265.34µm
_1084_,265µm
net14,263.5µm
net420,258.5µm
_1489_,258.4µm
