Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_130_775,VGND,li1,362.4800,364.4800,0.000139
FILLER_130_772,VGND,li1,361.3300,364.4800,0.000139
FILLER_130_769,VGND,li1,359.9500,364.4800,0.000139
FILLER_130_766,VGND,li1,358.5700,364.4800,0.000139
FILLER_130_763,VGND,li1,357.1900,364.4800,0.000139
FILLER_130_760,VGND,li1,355.8100,364.4800,0.000139
FILLER_130_757,VGND,li1,354.4300,364.4800,0.000139
FILLER_130_753,VGND,li1,352.5900,364.4800,0.000139
FILLER_130_750,VGND,li1,351.2100,364.4800,0.000139
FILLER_130_747,VGND,li1,349.8300,364.4800,0.000139
FILLER_130_744,VGND,li1,348.4500,364.4800,0.000139
FILLER_130_741,VGND,li1,347.0700,364.4800,0.000139
FILLER_130_738,VGND,li1,345.6900,364.4800,0.000139
FILLER_130_735,VGND,li1,344.3100,364.4800,0.000139
FILLER_130_732,VGND,li1,342.9300,364.4800,0.000139
FILLER_130_729,VGND,li1,341.5500,364.4800,0.000139
FILLER_130_725,VGND,li1,339.7100,364.4800,0.000139
FILLER_130_722,VGND,li1,338.3300,364.4800,0.000139
FILLER_130_719,VGND,li1,336.9500,364.4800,0.000139
FILLER_130_716,VGND,li1,335.5700,364.4800,0.000139
FILLER_130_713,VGND,li1,334.1900,364.4800,0.000139
FILLER_130_710,VGND,li1,332.8100,364.4800,0.000139
FILLER_130_707,VGND,li1,331.4300,364.4800,0.000139
FILLER_130_704,VGND,li1,330.0500,364.4800,0.000170
FILLER_130_701,VGND,li1,328.6700,364.4800,0.000170
FILLER_130_697,VGND,li1,326.8300,364.4800,0.000196
FILLER_130_694,VGND,li1,325.4500,364.4800,0.000234
FILLER_130_691,VGND,li1,324.0700,364.4800,0.000234
FILLER_130_688,VGND,li1,322.6900,364.4800,0.000272
FILLER_130_685,VGND,li1,321.3100,364.4800,0.000272
FILLER_130_682,VGND,li1,319.9300,364.4800,0.000311
FILLER_130_679,VGND,li1,318.5500,364.4800,0.000311
FILLER_130_676,VGND,li1,317.1700,364.4800,0.000349
FILLER_130_673,VGND,li1,315.7900,364.4800,0.000349
FILLER_130_669,VGND,li1,313.9500,364.4800,0.000381
FILLER_130_666,VGND,li1,312.5700,364.4800,0.000413
FILLER_130_663,VGND,li1,311.1900,364.4800,0.000413
FILLER_130_660,VGND,li1,309.8100,364.4800,0.000438
FILLER_130_657,VGND,li1,308.4300,364.4800,0.000470
FILLER_130_654,VGND,li1,307.0500,364.4800,0.000470
FILLER_130_651,VGND,li1,305.6700,364.4800,0.000495
FILLER_130_648,VGND,li1,304.2900,364.4800,0.000527
FILLER_130_645,VGND,li1,302.9100,364.4800,0.000527
FILLER_130_641,VGND,li1,301.0700,364.4800,0.000553
FILLER_130_638,VGND,li1,299.6900,364.4800,0.000591
FILLER_130_635,VGND,li1,298.3100,364.4800,0.000591
FILLER_130_632,VGND,li1,296.9300,364.4800,0.000629
FILLER_130_629,VGND,li1,295.5500,364.4800,0.000629
FILLER_130_626,VGND,li1,294.1700,364.4800,0.000667
FILLER_130_623,VGND,li1,292.7900,364.4800,0.000667
FILLER_130_620,VGND,li1,291.4100,364.4800,0.000706
FILLER_130_617,VGND,li1,290.0300,364.4800,0.000706
FILLER_130_613,VGND,li1,288.1900,364.4800,0.000731
FILLER_130_610,VGND,li1,286.8100,364.4800,0.000757
FILLER_130_607,VGND,li1,285.4300,364.4800,0.000788
FILLER_130_604,VGND,li1,284.0500,364.4800,0.000788
FILLER_130_601,VGND,li1,282.6700,364.4800,0.000814
FILLER_130_598,VGND,li1,281.2900,364.4800,0.000846
FILLER_130_595,VGND,li1,279.9100,364.4800,0.000846
FILLER_130_592,VGND,li1,278.5300,364.4800,0.000871
FILLER_130_589,VGND,li1,277.1500,364.4800,0.000897
FILLER_130_585,VGND,li1,275.3100,364.4800,0.000929
FILLER_130_582,VGND,li1,273.9300,364.4800,0.000929
FILLER_130_579,VGND,li1,272.5500,364.4800,0.000967
FILLER_130_576,VGND,li1,271.1700,364.4800,0.000967
FILLER_130_573,VGND,li1,269.7900,364.4800,0.001005
FILLER_130_570,VGND,li1,268.4100,364.4800,0.001005
FILLER_130_567,VGND,li1,267.0300,364.4800,0.001043
FILLER_130_564,VGND,li1,265.6500,364.4800,0.001043
FILLER_130_561,VGND,li1,264.2700,364.4800,0.001081
FILLER_130_557,VGND,li1,262.4300,364.4800,0.001107
FILLER_130_554,VGND,li1,261.0500,364.4800,0.001107
FILLER_130_551,VGND,li1,259.6700,364.4800,0.001132
FILLER_130_548,VGND,li1,258.2900,364.4800,0.001164
FILLER_130_545,VGND,li1,256.9100,364.4800,0.001164
FILLER_130_536,VGND,li1,252.3100,364.4800,0.001227
FILLER_130_533,VGND,li1,251.3900,364.4800,0.001251
FILLER_130_523,VGND,li1,246.3300,364.4800,0.001303
FILLER_130_520,VGND,li1,245.4100,364.4800,0.001332
FILLER_130_517,VGND,li1,244.0300,364.4800,0.001332
FILLER_130_514,VGND,li1,242.6500,364.4800,0.001366
FILLER_130_511,VGND,li1,241.2700,364.4800,0.001366
FILLER_130_508,VGND,li1,239.8900,364.4800,0.001390
FILLER_130_505,VGND,li1,238.5100,364.4800,0.001390
FILLER_130_501,VGND,li1,236.6700,364.4800,0.001412
FILLER_130_498,VGND,li1,235.2900,364.4800,0.001406
FILLER_130_495,VGND,li1,233.9100,364.4800,0.001406
FILLER_130_492,VGND,li1,232.5300,364.4800,0.001398
FILLER_130_489,VGND,li1,231.1500,364.4800,0.001398
