Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_130_775,VPWR,li1,362.4800,367.2000,1.799952
FILLER_130_772,VPWR,li1,361.3300,367.2000,1.799952
FILLER_130_769,VPWR,li1,359.9500,367.2000,1.799952
FILLER_130_766,VPWR,li1,358.5700,367.2000,1.799952
FILLER_130_763,VPWR,li1,357.1900,367.2000,1.799952
FILLER_130_760,VPWR,li1,355.8100,367.2000,1.799952
FILLER_130_757,VPWR,li1,354.4300,367.2000,1.799952
FILLER_130_753,VPWR,li1,352.5900,367.2000,1.799952
FILLER_130_750,VPWR,li1,351.2100,367.2000,1.799952
FILLER_130_747,VPWR,li1,349.8300,367.2000,1.799952
FILLER_130_744,VPWR,li1,348.4500,367.2000,1.799952
FILLER_130_741,VPWR,li1,347.0700,367.2000,1.799952
FILLER_130_738,VPWR,li1,345.6900,367.2000,1.799952
FILLER_130_735,VPWR,li1,344.3100,367.2000,1.799952
FILLER_130_732,VPWR,li1,342.9300,367.2000,1.799952
FILLER_130_729,VPWR,li1,341.5500,367.2000,1.799952
FILLER_130_725,VPWR,li1,339.7100,367.2000,1.799952
FILLER_130_722,VPWR,li1,338.3300,367.2000,1.799952
FILLER_130_719,VPWR,li1,336.9500,367.2000,1.799952
FILLER_130_716,VPWR,li1,335.5700,367.2000,1.799952
FILLER_130_713,VPWR,li1,334.1900,367.2000,1.799952
FILLER_130_710,VPWR,li1,332.8100,367.2000,1.799952
FILLER_130_707,VPWR,li1,331.4300,367.2000,1.799952
FILLER_130_704,VPWR,li1,330.0500,367.2000,1.799952
FILLER_130_701,VPWR,li1,328.6700,367.2000,1.799952
FILLER_130_697,VPWR,li1,326.8300,367.2000,1.799943
FILLER_130_694,VPWR,li1,325.4500,367.2000,1.799930
FILLER_130_691,VPWR,li1,324.0700,367.2000,1.799930
FILLER_130_688,VPWR,li1,322.6900,367.2000,1.799916
FILLER_130_685,VPWR,li1,321.3100,367.2000,1.799916
FILLER_130_682,VPWR,li1,319.9300,367.2000,1.799903
FILLER_130_679,VPWR,li1,318.5500,367.2000,1.799903
FILLER_130_676,VPWR,li1,317.1700,367.2000,1.799890
FILLER_130_673,VPWR,li1,315.7900,367.2000,1.799890
FILLER_130_669,VPWR,li1,313.9500,367.2000,1.799881
FILLER_130_666,VPWR,li1,312.5700,367.2000,1.799867
FILLER_130_663,VPWR,li1,311.1900,367.2000,1.799867
FILLER_130_660,VPWR,li1,309.8100,367.2000,1.799854
FILLER_130_657,VPWR,li1,308.4300,367.2000,1.799854
FILLER_130_654,VPWR,li1,307.0500,367.2000,1.799841
